@iot.id,phenomenonDate,result,id,lat,long,weekday,Weeknumber,yearnumber,Weeknumberstring,Week in year,Season
53659830,2020-12-21,9211,14720,53.55794100000001,9.949485000000001,Monday,52,2020,52,202052,winter
53659712,2020-12-21,12373,14304,53.55868,9.962516,Monday,52,2020,52,202052,winter
53659823,2020-12-21,22165,13124,53.56361999999999,9.932551,Monday,52,2020,52,202052,winter
53660215,2020-12-21,10819,13968,53.628733,9.931627,Monday,52,2020,52,202052,winter
53660167,2020-12-21,3590,13316,53.482884,9.991331,Monday,52,2020,52,202052,winter
53659894,2020-12-21,2205,13144,53.550213,9.935411,Monday,52,2020,52,202052,winter
53660316,2020-12-21,12767,14140,53.559003000000004,9.9504,Monday,52,2020,52,202052,winter
53659794,2020-12-21,23994,13836,53.60005699999999,10.027394000000001,Monday,52,2020,52,202052,winter
53660059,2020-12-21,12861,13684,53.59390500000001,10.110318,Monday,52,2020,52,202052,winter
53660536,2020-12-21,122,14824,53.652972,10.106438,Monday,52,2020,52,202052,winter
53659840,2020-12-21,12374,13176,53.583617000000004,9.970257,Monday,52,2020,52,202052,winter
53659955,2020-12-21,868,13036,53.585087,10.042349,Monday,52,2020,52,202052,winter
53659744,2020-12-21,38536,13200,53.60305,9.98902,Monday,52,2020,52,202052,winter
53659772,2020-12-21,5600,14780,53.607517,10.115875,Monday,52,2020,52,202052,winter
53659729,2020-12-21,2069,14248,53.598698,9.991411,Monday,52,2020,52,202052,winter
53660363,2020-12-21,7297,13988,53.629251000000004,9.929824,Monday,52,2020,52,202052,winter
53659984,2020-12-21,5497,13748,53.574056000000006,10.057905,Monday,52,2020,52,202052,winter
53659825,2020-12-21,16361,13128,53.56344,9.932547,Monday,52,2020,52,202052,winter
53660470,2020-12-21,9139,13868,53.513315000000006,10.091078,Monday,52,2020,52,202052,winter
53659761,2020-12-21,4367,14800,53.629118000000005,10.138765,Monday,52,2020,52,202052,winter
53660312,2020-12-21,26392,14272,53.559537,9.948827,Monday,52,2020,52,202052,winter
53659795,2020-12-21,10473,13012,53.654394999999994,10.107111,Monday,52,2020,52,202052,winter
53659818,2020-12-21,4071,13192,53.547746,9.933589999999999,Monday,52,2020,52,202052,winter
53659980,2020-12-21,34453,13532,53.558378000000005,10.026007,Monday,52,2020,52,202052,winter
53660498,2020-12-21,6322,14360,53.475297999999995,10.177495,Monday,52,2020,52,202052,winter
53659967,2020-12-21,22353,13620,53.57428,10.034366,Monday,52,2020,52,202052,winter
53660227,2020-12-21,17759,14524,53.602456999999994,9.985726,Monday,52,2020,52,202052,winter
53659841,2020-12-21,22761,13172,53.583555000000004,9.97015,Monday,52,2020,52,202052,winter
53659971,2020-12-21,15044,13524,53.559452,10.025595,Monday,52,2020,52,202052,winter
53660250,2020-12-21,40359,13560,53.584035,9.933558999999999,Monday,52,2020,52,202052,winter
53659900,2020-12-21,16050,13092,53.573397,9.930652,Monday,52,2020,52,202052,winter
53659992,2020-12-21,8085,13600,53.579578000000005,10.057635000000001,Monday,52,2020,52,202052,winter
53659757,2020-12-21,7294,14816,53.628529,10.14011,Monday,52,2020,52,202052,winter
53660410,2020-12-21,22626,13520,53.55945,10.025746,Monday,52,2020,52,202052,winter
53659831,2020-12-21,11198,14708,53.558443000000004,9.948455000000001,Monday,52,2020,52,202052,winter
