@iot.id,phenomenonDate,result,id,lat,long,weekday
39379019,2020-03-29,1015,11822,53.580518,9.999531,Sunday
39379203,2020-03-31,2339,11822,53.580518,9.999531,Tuesday
39379323,2020-04-01,1894,11822,53.580518,9.999531,Wednesday
39379445,2020-04-02,2275,11822,53.580518,9.999531,Thursday
39379639,2020-04-03,1962,11822,53.580518,9.999531,Friday
39379764,2020-04-04,2228,11822,53.580518,9.999531,Saturday
39379848,2020-04-05,3887,11822,53.580518,9.999531,Sunday
39379921,2020-04-06,4138,11822,53.580518,9.999531,Monday
39380524,2020-04-09,3345,11822,53.580518,9.999531,Thursday
39381795,2020-04-18,4027,11822,53.580518,9.999531,Saturday
39380298,2020-04-07,3876,11822,53.580518,9.999531,Tuesday
39380451,2020-04-08,3151,11822,53.580518,9.999531,Wednesday
39380618,2020-04-10,3299,11822,53.580518,9.999531,Friday
39380805,2020-04-11,3155,11822,53.580518,9.999531,Saturday
39380952,2020-04-12,4466,11822,53.580518,9.999531,Sunday
39381038,2020-04-13,2473,11822,53.580518,9.999531,Monday
39381114,2020-04-14,2558,11822,53.580518,9.999531,Tuesday
39381224,2020-04-15,3814,11822,53.580518,9.999531,Wednesday
39381526,2020-04-17,4282,11822,53.580518,9.999531,Friday
39381429,2020-04-16,4034,11822,53.580518,9.999531,Thursday
39381916,2020-04-19,4611,11822,53.580518,9.999531,Sunday
39392331,2020-06-22,4724,11822,53.580518,9.999531,Monday
39382205,2020-04-21,3968,11822,53.580518,9.999531,Tuesday
39382282,2020-04-22,4625,11822,53.580518,9.999531,Wednesday
39382410,2020-04-23,5088,11822,53.580518,9.999531,Thursday
39382614,2020-04-24,4050,11822,53.580518,9.999531,Friday
39382741,2020-04-25,3655,11822,53.580518,9.999531,Saturday
39382856,2020-04-26,3631,11822,53.580518,9.999531,Sunday
39382943,2020-04-27,5016,11822,53.580518,9.999531,Monday
39386916,2020-05-19,3681,11822,53.580518,9.999531,Tuesday
39383188,2020-04-28,3649,11822,53.580518,9.999531,Tuesday
39383672,2020-04-30,2034,11822,53.580518,9.999531,Thursday
39383506,2020-04-29,2243,11822,53.580518,9.999531,Wednesday
39383786,2020-05-01,2046,11822,53.580518,9.999531,Friday
39383970,2020-05-02,1776,11822,53.580518,9.999531,Saturday
39384265,2020-05-04,3490,11822,53.580518,9.999531,Monday
39384158,2020-05-03,2715,11822,53.580518,9.999531,Sunday
39384369,2020-05-05,3398,11822,53.580518,9.999531,Tuesday
39384748,2020-05-07,3569,11822,53.580518,9.999531,Thursday
39384563,2020-05-06,4417,11822,53.580518,9.999531,Wednesday
39384906,2020-05-08,4105,11822,53.580518,9.999531,Friday
39385178,2020-05-09,3866,11822,53.580518,9.999531,Saturday
39385326,2020-05-10,2994,11822,53.580518,9.999531,Sunday
39385552,2020-05-11,1091,11822,53.580518,9.999531,Monday
39385650,2020-05-12,1882,11822,53.580518,9.999531,Tuesday
39385774,2020-05-13,2137,11822,53.580518,9.999531,Wednesday
39385915,2020-05-14,821,11822,53.580518,9.999531,Thursday
39386135,2020-05-15,2465,11822,53.580518,9.999531,Friday
39386245,2020-05-16,2278,11822,53.580518,9.999531,Saturday
39386375,2020-05-17,2351,11822,53.580518,9.999531,Sunday
39386483,2020-05-18,2408,11822,53.580518,9.999531,Monday
39387061,2020-05-20,3367,11822,53.580518,9.999531,Wednesday
39387276,2020-05-22,1787,11822,53.580518,9.999531,Friday
39387171,2020-05-21,3906,11822,53.580518,9.999531,Thursday
39387509,2020-05-23,1881,11822,53.580518,9.999531,Saturday
39387610,2020-05-24,1625,11822,53.580518,9.999531,Sunday
39387826,2020-05-26,3617,11822,53.580518,9.999531,Tuesday
39387723,2020-05-25,2898,11822,53.580518,9.999531,Monday
39388072,2020-05-27,3682,11822,53.580518,9.999531,Wednesday
39388209,2020-05-28,3546,11822,53.580518,9.999531,Thursday
39388474,2020-05-29,3377,11822,53.580518,9.999531,Friday
39388649,2020-05-30,2642,11822,53.580518,9.999531,Saturday
39388860,2020-05-31,2861,11822,53.580518,9.999531,Sunday
39388983,2020-06-01,3922,11822,53.580518,9.999531,Monday
39389087,2020-06-02,4431,11822,53.580518,9.999531,Tuesday
39389216,2020-06-03,2934,11822,53.580518,9.999531,Wednesday
39389386,2020-06-04,1688,11822,53.580518,9.999531,Thursday
39389543,2020-06-05,2211,11822,53.580518,9.999531,Friday
39389644,2020-06-06,1979,11822,53.580518,9.999531,Saturday
39390586,2020-06-11,1649,11822,53.580518,9.999531,Thursday
39389745,2020-06-07,1821,11822,53.580518,9.999531,Sunday
39390026,2020-06-08,3212,11822,53.580518,9.999531,Monday
39390309,2020-06-09,3687,11822,53.580518,9.999531,Tuesday
39390491,2020-06-10,3607,11822,53.580518,9.999531,Wednesday
39390769,2020-06-12,3184,11822,53.580518,9.999531,Friday
39390922,2020-06-13,1139,11822,53.580518,9.999531,Saturday
39391019,2020-06-14,1012,11822,53.580518,9.999531,Sunday
39391126,2020-06-15,3378,11822,53.580518,9.999531,Monday
39396968,2020-07-21,4458,11822,53.580518,9.999531,Tuesday
39391475,2020-06-17,5080,11822,53.580518,9.999531,Wednesday
39391308,2020-06-16,5264,11822,53.580518,9.999531,Tuesday
39391899,2020-06-19,2485,11822,53.580518,9.999531,Friday
39391673,2020-06-18,3215,11822,53.580518,9.999531,Thursday
39392232,2020-06-21,3306,11822,53.580518,9.999531,Sunday
39392055,2020-06-20,2767,11822,53.580518,9.999531,Saturday
39392435,2020-06-23,1755,11822,53.580518,9.999531,Tuesday
39394662,2020-07-08,4043,11822,53.580518,9.999531,Wednesday
39395320,2020-07-11,2406,11822,53.580518,9.999531,Saturday
39393701,2020-07-01,3093,11822,53.580518,9.999531,Wednesday
39393798,2020-07-02,2307,11822,53.580518,9.999531,Thursday
39394122,2020-07-04,1207,11822,53.580518,9.999531,Saturday
39394217,2020-07-05,1802,11822,53.580518,9.999531,Sunday
39394026,2020-07-03,3805,11822,53.580518,9.999531,Friday
39394316,2020-07-06,2921,11822,53.580518,9.999531,Monday
39394530,2020-07-07,3564,11822,53.580518,9.999531,Tuesday
39394937,2020-07-09,1596,11822,53.580518,9.999531,Thursday
39395089,2020-07-10,1563,11822,53.580518,9.999531,Friday
39395417,2020-07-12,3432,11822,53.580518,9.999531,Sunday
39395830,2020-07-15,4015,11822,53.580518,9.999531,Wednesday
39395521,2020-07-13,5099,11822,53.580518,9.999531,Monday
39395633,2020-07-14,3189,11822,53.580518,9.999531,Tuesday
39395990,2020-07-16,4765,11822,53.580518,9.999531,Thursday
39396199,2020-07-18,3600,11822,53.580518,9.999531,Saturday
39396103,2020-07-17,4782,11822,53.580518,9.999531,Friday
39396536,2020-07-19,3535,11822,53.580518,9.999531,Sunday
